,page,field,events,date
0,/confirmdetails/index,title,57,2020-05-01
1,/personaldetails/index,first-name,33,2020-05-01
2,/personaldetails/index,address_1,26,2020-05-01
3,/personaldetails/index,address_town,26,2020-05-01
4,/personaldetails/index,address_country,23,2020-05-01
5,/personaldetails/index,email,22,2020-05-01
6,/personaldetails/index,address_postcode,19,2020-05-01
7,/personaldetails/index,card_name,19,2020-05-01
9,/personaldetails/index,surname,11,2020-05-01
10,/bankdetails/index,DirectDebitStartDay,9,2020-05-01
11,/bankdetails/index,DirectDebitStartMonth,9,2020-05-01
12,/bankdetails/index,DirectDebitStartYear,9,2020-05-01
13,/personaldetails/index,title,7,2020-05-01
18,/bankdetails/index,AccountHolderName,2,2020-05-01
19,/bankdetails/index,AccountNumber,2,2020-05-01
20,/bankdetails/index,BankSortCode,2,2020-05-01
22,/confirmdetails/index,title,30,2020-05-02
23,/personaldetails/index,first-name,27,2020-05-02
24,/personaldetails/index,address_1,22,2020-05-02
25,/personaldetails/index,address_town,22,2020-05-02
26,/personaldetails/index,card_name,21,2020-05-02
27,/personaldetails/index,email,20,2020-05-02
28,/personaldetails/index,title,13,2020-05-02
29,/personaldetails/index,address_postcode,11,2020-05-02
30,/personaldetails/index,address_country,10,2020-05-02
32,/personaldetails/index,surname,7,2020-05-02
33,/bankdetails/index,DirectDebitStartYear,5,2020-05-02
35,/bankdetails/index,AccountHolderName,4,2020-05-02
36,/bankdetails/index,DirectDebitStartDay,4,2020-05-02
37,/bankdetails/index,DirectDebitStartMonth,4,2020-05-02
38,/personaldetails/index,form-change-amount-input,3,2020-05-02
41,/bankdetails/index,AccountNumber,1,2020-05-02
42,/bankdetails/index,BankName,1,2020-05-02
43,/bankdetails/index,BankSortCode,1,2020-05-02
44,/personaldetails/index,MC_formDonationType,1,2020-05-02
45,/confirmdetails/index,title,20,2020-05-03
46,/personaldetails/index,first-name,16,2020-05-03
47,/personaldetails/index,address_1,15,2020-05-03
48,/personaldetails/index,address_town,15,2020-05-03
49,/personaldetails/index,card_name,14,2020-05-03
50,/personaldetails/index,address_country,13,2020-05-03
51,/personaldetails/index,email,9,2020-05-03
52,/personaldetails/index,title,9,2020-05-03
53,/bankdetails/index,DirectDebitStartDay,8,2020-05-03
54,/bankdetails/index,DirectDebitStartMonth,8,2020-05-03
55,/bankdetails/index,DirectDebitStartYear,8,2020-05-03
56,/personaldetails/index,address_postcode,8,2020-05-03
57,/bankdetails/index,AccountHolderName,5,2020-05-03
59,/personaldetails/index,surname,5,2020-05-03
61,/bankdetails/index,AccountNumber,3,2020-05-03
62,/personaldetails/index,form-change-amount-input,3,2020-05-03
63,/bankdetails/index,BankName,2,2020-05-03
64,/bankdetails/index,BankSortCode,2,2020-05-03
65,/confirmdetails/index,email,2,2020-05-03
69,/confirmdetails/index,title,33,2020-05-04
70,/personaldetails/index,address_1,13,2020-05-04
71,/personaldetails/index,address_town,12,2020-05-04
72,/personaldetails/index,card_name,12,2020-05-04
73,/personaldetails/index,first-name,12,2020-05-04
74,/personaldetails/index,email,11,2020-05-04
75,/personaldetails/index,surname,10,2020-05-04
76,/personaldetails/index,title,10,2020-05-04
78,/personaldetails/index,address_country,7,2020-05-04
79,/bankdetails/index,DirectDebitStartDay,6,2020-05-04
80,/bankdetails/index,DirectDebitStartMonth,6,2020-05-04
81,/bankdetails/index,DirectDebitStartYear,6,2020-05-04
82,/personaldetails/index,address_postcode,5,2020-05-04
84,/bankdetails/index,AccountHolderName,2,2020-05-04
85,/bankdetails/index,AccountNumber,2,2020-05-04
86,/bankdetails/index,BankName,1,2020-05-04
87,/confirmdetails/index,address_1,1,2020-05-04
